lemma,level,pos
# A1 — absolute beginners
sein,A1,VERB
haben,A1,VERB
werden,A1,VERB
können,A1,VERB
müssen,A1,VERB
wollen,A1,VERB
sollen,A1,VERB
dürfen,A1,VERB
mögen,A1,VERB
machen,A1,VERB
gehen,A1,VERB
kommen,A1,VERB
geben,A1,VERB
nehmen,A1,VERB
sehen,A1,VERB
fahren,A1,VERB
wohnen,A1,VERB
heißen,A1,VERB
arbeiten,A1,VERB
spielen,A1,VERB
essen,A1,VERB
trinken,A1,VERB
sprechen,A1,VERB
schreiben,A1,VERB
lesen,A1,VERB
hören,A1,VERB
sagen,A1,VERB
fragen,A1,VERB
antworten,A1,VERB
kaufen,A1,VERB
lernen,A1,VERB
verstehen,A1,VERB
wissen,A1,VERB
kennen,A1,VERB
finden,A1,VERB
brauchen,A1,VERB
öffnen,A1,VERB
schließen,A1,VERB
suchen,A1,VERB
warten,A1,VERB
helfen,A1,VERB
leben,A1,VERB
lieben,A1,VERB
heißen,A1,VERB
kommen,A1,VERB
mann,A1,NOUN
frau,A1,NOUN
kind,A1,NOUN
familie,A1,NOUN
haus,A1,NOUN
auto,A1,NOUN
stadt,A1,NOUN
land,A1,NOUN
schule,A1,NOUN
arbeit,A1,NOUN
buch,A1,NOUN
geld,A1,NOUN
tag,A1,NOUN
jahr,A1,NOUN
zeit,A1,NOUN
welt,A1,NOUN
mensch,A1,NOUN
hand,A1,NOUN
kopf,A1,NOUN
auge,A1,NOUN
wasser,A1,NOUN
essen,A1,NOUN
name,A1,NOUN
sprache,A1,NOUN
wort,A1,NOUN
nummer,A1,NOUN
straße,A1,NOUN
telefon,A1,NOUN
adresse,A1,NOUN
freund,A1,NOUN
freundin,A1,NOUN
mutter,A1,NOUN
vater,A1,NOUN
bruder,A1,NOUN
schwester,A1,NOUN
großmutter,A1,NOUN
großvater,A1,NOUN
gut,A1,ADJ
schlecht,A1,ADJ
groß,A1,ADJ
klein,A1,ADJ
neu,A1,ADJ
alt,A1,ADJ
jung,A1,ADJ
schön,A1,ADJ
billig,A1,ADJ
warm,A1,ADJ
kalt,A1,ADJ
lang,A1,ADJ
kurz,A1,ADJ
viel,A1,ADJ
wenig,A1,ADJ
hoch,A1,ADJ
schnell,A1,ADJ
langsam,A1,ADJ
richtig,A1,ADJ
falsch,A1,ADJ
heute,A1,ADV
morgen,A1,ADV
gestern,A1,ADV
hier,A1,ADV
dort,A1,ADV
auch,A1,ADV
noch,A1,ADV
schon,A1,ADV
sehr,A1,ADV
immer,A1,ADV
nie,A1,ADV
jetzt,A1,ADV
dann,A1,ADV
# A2 — elementary
besuchen,A2,VERB
bleiben,A2,VERB
bringen,A2,VERB
denken,A2,VERB
einladen,A2,VERB
empfehlen,A2,VERB
erklären,A2,VERB
erzählen,A2,VERB
fotografieren,A2,VERB
gefallen,A2,VERB
kochen,A2,VERB
möchten,A2,VERB
packen,A2,VERB
reisen,A2,VERB
reservieren,A2,VERB
rufen,A2,VERB
schauen,A2,VERB
schicken,A2,VERB
schwimmen,A2,VERB
singen,A2,VERB
tanzen,A2,VERB
treffen,A2,VERB
vergessen,A2,VERB
verkaufen,A2,VERB
verlieren,A2,VERB
wohnen,A2,VERB
zeigen,A2,VERB
hotel,A2,NOUN
restaurant,A2,NOUN
reise,A2,NOUN
flug,A2,NOUN
bahnhof,A2,NOUN
flughafen,A2,NOUN
zimmer,A2,NOUN
bett,A2,NOUN
küche,A2,NOUN
bad,A2,NOUN
garten,A2,NOUN
wohnung,A2,NOUN
büro,A2,NOUN
krankenhaus,A2,NOUN
arzt,A2,NOUN
ärztin,A2,NOUN
apotheke,A2,NOUN
bank,A2,NOUN
supermarkt,A2,NOUN
laden,A2,NOUN
preis,A2,NOUN
rechnung,A2,NOUN
ticket,A2,NOUN
karte,A2,NOUN
nachrichten,A2,NOUN
zeitung,A2,NOUN
programm,A2,NOUN
musik,A2,NOUN
sport,A2,NOUN
mannschaft,A2,NOUN
spiel,A2,NOUN
urlaub,A2,NOUN
wetter,A2,NOUN
temperatur,A2,NOUN
regen,A2,NOUN
sonne,A2,NOUN
interessant,A2,ADJ
langweilig,A2,ADJ
schwierig,A2,ADJ
einfach,A2,ADJ
wichtig,A2,ADJ
möglich,A2,ADJ
schön,A2,ADJ
lecker,A2,ADJ
krank,A2,ADJ
gesund,A2,ADJ
müde,A2,ADJ
glücklich,A2,ADJ
traurig,A2,ADJ
bekannt,A2,ADJ
oft,A2,ADV
manchmal,A2,ADV
selten,A2,ADV
meistens,A2,ADV
zuerst,A2,ADV
danach,A2,ADV
bald,A2,ADV
zusammen,A2,ADV
allein,A2,ADV
gern,A2,ADV
# B1 — intermediate
ablehnen,B1,VERB
annehmen,B1,VERB
aufhören,B1,VERB
ausgeben,B1,VERB
aussteigen,B1,VERB
beachten,B1,VERB
bedeuten,B1,VERB
benutzen,B1,VERB
beschreiben,B1,VERB
bestehen,B1,VERB
bewerben,B1,VERB
bieten,B1,VERB
einsteigen,B1,VERB
entscheiden,B1,VERB
entwickeln,B1,VERB
erlauben,B1,VERB
erreichen,B1,VERB
erwarten,B1,VERB
funktionieren,B1,VERB
gewinnen,B1,VERB
handeln,B1,VERB
interessieren,B1,VERB
kämpfen,B1,VERB
lösen,B1,VERB
organisieren,B1,VERB
planen,B1,VERB
prüfen,B1,VERB
reagieren,B1,VERB
sammeln,B1,VERB
stattfinden,B1,VERB
teilnehmen,B1,VERB
testen,B1,VERB
überlegen,B1,VERB
unterstützen,B1,VERB
verdienen,B1,VERB
vergleichen,B1,VERB
versuchen,B1,VERB
vorstellen,B1,VERB
wählen,B1,VERB
zusammenarbeiten,B1,VERB
aussage,B1,NOUN
bedingung,B1,NOUN
bedeutung,B1,NOUN
bereich,B1,NOUN
bericht,B1,NOUN
bevölkerung,B1,NOUN
bürger,B1,NOUN
demokratie,B1,NOUN
diskussion,B1,NOUN
einfluss,B1,NOUN
entscheidung,B1,NOUN
entwicklung,B1,NOUN
erfahrung,B1,NOUN
ergebnis,B1,NOUN
erlaubnis,B1,NOUN
forderung,B1,NOUN
gesellschaft,B1,NOUN
gesetz,B1,NOUN
gewalt,B1,NOUN
grenze,B1,NOUN
hauptstadt,B1,NOUN
information,B1,NOUN
kosten,B1,NOUN
kredit,B1,NOUN
kultur,B1,NOUN
lage,B1,NOUN
lösung,B1,NOUN
maßnahme,B1,NOUN
meinung,B1,NOUN
möglichkeit,B1,NOUN
nachricht,B1,NOUN
niveau,B1,NOUN
partei,B1,NOUN
person,B1,NOUN
politik,B1,NOUN
politiker,B1,NOUN
problem,B1,NOUN
prozess,B1,NOUN
region,B1,NOUN
regierung,B1,NOUN
recht,B1,NOUN
situation,B1,NOUN
stelle,B1,NOUN
system,B1,NOUN
thema,B1,NOUN
umwelt,B1,NOUN
unterschied,B1,NOUN
veranstaltung,B1,NOUN
verhältnis,B1,NOUN
wirtschaft,B1,NOUN
zukunft,B1,NOUN
bedeutend,B1,ADJ
beliebt,B1,ADJ
bereit,B1,ADJ
besonders,B1,ADJ
erfolgreich,B1,ADJ
freiwillig,B1,ADJ
gemeinsam,B1,ADJ
genau,B1,ADJ
gleichzeitig,B1,ADJ
international,B1,ADJ
lokal,B1,ADJ
national,B1,ADJ
notwendig,B1,ADJ
öffentlich,B1,ADJ
persönlich,B1,ADJ
politisch,B1,ADJ
sozial,B1,ADJ
typisch,B1,ADJ
wirtschaftlich,B1,ADJ
zusätzlich,B1,ADJ
bereits,B1,ADV
besonders,B1,ADV
dagegen,B1,ADV
dadurch,B1,ADV
dafür,B1,ADV
dagegen,B1,ADV
dazu,B1,ADV
deshalb,B1,ADV
deswegen,B1,ADV
ebenfalls,B1,ADV
eigentlich,B1,ADV
insgesamt,B1,ADV
mindestens,B1,ADV
offensichtlich,B1,ADV
ungefähr,B1,ADV
wahrscheinlich,B1,ADV
zunächst,B1,ADV
# B2 — upper intermediate
abbauen,B2,VERB
anerkennen,B2,VERB
aufrechterhalten,B2,VERB
